Timestamp,Data,Type,Camera,Time (seconds)
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,99
2025-06-09 17:33:25,2240113101,CODE39,Cam2,99
2025-06-09 17:33:25,2240089101,CODE39,Cam2,99
2025-06-09 17:33:25,2240117101,CODE39,Cam2,99
2025-06-09 17:33:32,2240111101,CODE39,Cam2,106
2025-06-09 17:33:48,2240146101,CODE39,Cam1,122
2025-06-09 17:33:49,2240141101,CODE39,Cam1,123
2025-06-09 17:34:09,2240081101,CODE39,Cam2,142
